Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,Dep vs GAD object-18  ,Dep vs GAD object-18   Quantised,Dep vs SAD object-22  ,Dep vs SAD object-22   Quantised,OCD v dep object-26  ,OCD v dep object-26   Quantised,BDD v Dep object-30  ,BDD v Dep object-30   Quantised,Dep vs ED object-34  ,Dep vs ED object-34   Quantised,SAD v GAD object-38  ,SAD v GAD object-38   Quantised,GAD vs OCD object-42  ,GAD vs OCD object-42   Quantised,GAD v BDD object-46  ,GAD v BDD object-46   Quantised,ED v GAD object-50  ,ED v GAD object-50   Quantised,OCD v SAD object-54  ,OCD v SAD object-54   Quantised,SAD vs BDD object-58  ,SAD vs BDD object-58   Quantised,SAD vs ED object-62  ,SAD vs ED object-62   Quantised,OCD vs BDD object-67  ,OCD vs BDD object-67   Quantised,ED v OCD object-71  ,ED v OCD object-71   Quantised,BDD vs ED object-75  ,BDD vs ED object-75   Quantised,Diagnosis  object-79 Response,Diagnosis  object-79 Quantised,Self-report measures object-80 Value,Clinician measures object-81 Value,Further info object-82 Value,Treatment object-86 Response,Treatment object-86 Quantised,Other treatment object-91 Value,Dermatologist object-90 Value,Further info dermatologist object-100 Value,Work with object-92 Response,Work with object-92 Quantised,Treatment sessions object-93 Response,Treatment sessions object-93 Quantised,Guidelines object-94 Value,Protocols object-95 Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dep vs GAD object-18  ,Dep vs GAD object-18   Quantised,Dep vs SAD object-22  ,Dep vs SAD object-22   Quantised,OCD v dep object-26  ,OCD v dep object-26   Quantised,BDD v Dep object-30  ,BDD v Dep object-30   Quantised,Dep vs ED object-34  ,Dep vs ED object-34   Quantised,SAD v GAD object-38  ,SAD v GAD object-38   Quantised,GAD vs OCD object-42  ,GAD vs OCD object-42   Quantised,GAD v BDD object-46  ,GAD v BDD object-46   Quantised,ED v GAD object-50  ,ED v GAD object-50   Quantised,OCD v SAD object-54  ,OCD v SAD object-54   Quantised,SAD vs BDD object-58  ,SAD vs BDD object-58   Quantised,SAD vs ED object-62  ,SAD vs ED object-62   Quantised,OCD vs BDD object-67  ,OCD vs BDD object-67   Quantised,ED v OCD object-71  ,ED v OCD object-71   Quantised,BDD vs ED object-75  ,BDD vs ED object-75   Quantised,"**From the list below, which ONE diagnosis would you identify as the primary presenting difficulty or diagnosis for Mya?**","**From the list below, which ONE diagnosis would you identify as the primary presenting difficulty or diagnosis for Mya?**",**What self-report measure(s) would you want the young person to complete to find out more information?** Please write ‘none’ if you do not know. ,**Are there any clinician-rated assessment tools you would want to complete with the young person to find out more information?** Please write ‘none’ if you do not know. ,**What further information would you want to gather?** Please write ‘none’ if you do not know. ,"**If you had to choose ONE, and only one, psychological treatment approach to use for this case, what would it be? Please select one.**","**If you had to choose ONE, and only one, psychological treatment approach to use for this case, what would it be? Please select one.**","**If you selected ‘other’, please specify:**","**Based on the information provided, how likely is it is that this young person would benefit from seeing a dermatologist? (0= extremely unlikely; 100 = extremely likely)**","**If you would like to provide an explanation for your answer to the question above regarding the likelihood that this young person would benefit from seeing a dermatologist, please write this in the box below:** (if you do not wish to add anything, you can skip this question) ",**Who would you primarily be working with in this case?**,**Who would you primarily be working with in this case?**,**How many treatment sessions would you be likely to offer?**,**How many treatment sessions would you be likely to offer?**,**Are there any treatment guidelines that you are aware of that you would follow when working with this case?** Please write ‘none’ if you do not know of any relevant guidelines.,**Are there any treatment manuals that you are aware of that you would follow when working with this case?** Please write ‘none’ if you do not know of any relevant manuals.
1,1744800153975,16/04/2025 10:42:33,1744803753975,1,16/04/2025 12:42:33,212748,1,questionnaire-yz2p,,45447675,27cxv86i,13207333,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1536x864,1528x714,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Depression,1,Depression,2,Depression,2,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Generalised anxiety disorder,1,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Social anxiety disorder/social phobia,1,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Eating disorder,1,Body dysmorphic disorder,1,Depression,1,RCADS would be helpful,not sure,"might consider any neurodiverse traits
would want to understand more about specific worries and behavioural patterns
understand more about family set up- any contact with dad, when did parents separate
any learning difficulties
any actual issues with her skin
significant life events",Cognitive behavioural therapy (CBT) ,2,,10,"unless there are come genuine concerns evident i would consider this an unhelpful sfaety behaviour, however there may be some rationale for reassurance if there are milk concerns.",Both (young person and parent/carer/guardian),3,9 to 12,3,would follow NICE guiedlines where relevant,unsure
1,1744801017105,16/04/2025 10:56:57,1744804617105,1,16/04/2025 12:56:57,212748,1,questionnaire-yz2p,,45448220,vkd5ttqe,13207442,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1236x548,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Depression,1,Depression,2,Body dysmorphic disorder,1,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Body dysmorphic disorder,5,"RCADS
BDD YBOCS",none,"timeline of difficulties
self-monitoring - cognitions / behaviours
mapping out - 5 areas / vicious flower
which areas of life Mya feels are impacted most / identify her goals in this regard
explore motivation to engage / readiness for change",Cognitive behavioural therapy (CBT) ,2,,21,"she may have short term relief by doing this - however, she is likely to continue to have the thoughts about her skin that she's been experiencing and continue with reassurance seeking / checking behaviours",Both (young person and parent/carer/guardian),3,13 to 20,4,"I believe the Maudsley have a protocol that could be helpful
I'd be working with my supervisor closely with this",as above
1,1744814063757,16/04/2025 14:34:23,1744817663757,1,16/04/2025 16:34:23,212748,1,questionnaire-yz2p,,45454972,2bxez23v,13209422,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1920x925,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Depression,1,Depression,2,Body dysmorphic disorder,1,Depression,1,Social anxiety disorder/social phobia,1,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Body dysmorphic disorder,5,"RCADS
BDDQ
CYBOCS","Not exactly an assessment tool, but I'd go through the 5Ps with her","Info re: eating behaviours, weight, obsessions and compulsions, usual activity, when the worrying started, epidemiology, any trauma, neurodivergence, developmental Hx. Just a whole lot more",Cognitive behavioural therapy (CBT) with Exposure and Response Prevention (ERP) ,3,,5,"I didn't put exactly zero because there is always the small chance that going along with Mya's fixation and helping her receive a medical assessment that categorically denies there is anything wrong with her skin could resolve her anxiety. However, that really wouldn't be at the top of my priorities or an appropriate psychological intervention - I'd rather not inadvertantly confirm her anxiety but suggesting that such an appointment could be beneficial for her. Plus, if there was anything wrong with her skin, the GP would have spotted it.",Both (young person and parent/carer/guardian),3,9 to 12,3,NICE guidelines for BDD,"There are lots of CBT and ERP manuals available, and likely training on CBT for BDD but I don't know any names of the top of my head."
1,1744897298827,17/04/2025 13:41:38,1744900898827,1,17/04/2025 15:41:38,212748,1,questionnaire-yz2p,,45477350,19upob77,13216672,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Depression,1,Obsessive-compulsive disorder,1,Body dysmorphic disorder,1,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Obsessive-compulsive disorder,1,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Body dysmorphic disorder,5,"RCADS, EDE-Q",None,"Eating behaviours, compulsions? obessessions? Checking behaviours, mood any any self-harm, any other precouppation with parts of the body.",Cognitive behavioural therapy (CBT) ,2,,6,"Due to other people's reports saying Mya's skin looks normal and Mya contiually seeking reassurance, Mya is unlikely to benefit and in fact the dermatologist would like feed Mya needing more reassurance.",Both (young person and parent/carer/guardian),3,9 to 12,3,None,None
1,1745300871217,22/04/2025 05:47:51,1745304471217,1,22/04/2025 07:47:51,212748,1,questionnaire-yz2p,,45549115,8h3mclvr,13240959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Depression,1,Depression,1,Depression,2,Body dysmorphic disorder,1,Depression,1,Social anxiety disorder/social phobia,1,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Body dysmorphic disorder,5,"RCADS as a start - may then follow up with more specific screening measures (e.g. BDDQ, CHOCI)",No - I would start with more general assessment and formulation,"How long has Mya presented like this? And any triggers for change in presentation/linked to start of difficulties.
Any risk to self, or from or to others
Reasons for tearfulness
Source/content of worries
Nature of reassurance sought from mum
Changes in functioning e.g. school attendance/performance, engagement in any hobbies etc
Quality of relationships within the family and any friendship difficulties or bullying
Any physical health difficulties including any physical causes for concerns about skin",Cognitive behavioural therapy (CBT) ,2,,35,"Its very hard to answer without more information - if there is a skin problem, a dermatologist would help, but if this is (as indicated) more a worry about skin in Mya's mind then reassurance of seeing a dermatologist might help briefly, though is unlikely to bring sustained improvement (like the reassurance sought from mum)",Primarily the young person,1,9 to 12,3,"Depends on the formulation once further information is gathered e.g. NICE guidelines for treatment of OCD and BDD, NICE guidelines for depression etc",Depends on the formulation once further information is gathered
1,1745308486684,22/04/2025 07:54:46,1745312086684,1,22/04/2025 09:54:46,212748,1,questionnaire-yz2p,,45550189,3l0o5j3z,13243810,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Depression,2,Depression,2,Depression,1,Social anxiety disorder/social phobia,1,Generalised anxiety disorder,1,Generalised anxiety disorder,1,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Social anxiety disorder/social phobia,1,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Social anxiety disorder/social phobia,3,none,none,"the impact this has on daily life.
is Maya doing anything specific to her concerns that are detrimental to herself
how long has this been ongoing",Cognitive behavioural therapy (CBT) ,2,,90,"if there is a concern with skin, seeing a skin specialist could provide some reassurance that there is or isn't anything wrong with her skin. They may also be able to provide a relevant treatment is there is something that needs treating.

This should alleviate a lot of the worries and help with her mental state",Both (young person and parent/carer/guardian),3,4 to 8,2,none,noen
1,1745339396433,22/04/2025 16:29:56,1745342996433,1,22/04/2025 18:29:56,212748,1,questionnaire-yz2p,,45564824,dzszui64,13252398,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Depression,2,Depression,2,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Generalised anxiety disorder,1,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Social anxiety disorder/social phobia,1,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Social anxiety disorder/social phobia,3,None,"RCADS-C
LSAS",The reasons behind wanting to stay at home. What thoughts she is having about herself.  What situations cause her to feel on edge throughout the day.  ,Cognitive behavioural therapy (CBT) ,2,,10,"There are no concerns from other people about her skin, however having limited information, perhaps the other people are just being kind and she would benefit from medical help - hence not a 0.",Primarily the young person,1,4 to 8,2,None,None
1,1745420885584,23/04/2025 15:08:05,1745424485584,1,23/04/2025 17:08:05,212748,1,questionnaire-yz2p,,45591513,xmo90qe9,13262505,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x560,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Depression,1,Depression,1,Depression,2,Body dysmorphic disorder,1,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Body dysmorphic disorder,5,None,RCADS,"Effects on different areas of their life
If there are any good days and what helps them be a good day
",Cognitive behavioural therapy (CBT) ,2,,100,,Primarily the young person,1,13 to 20,4,None,None
1,1745421989881,23/04/2025 15:26:29,1745425589881,1,23/04/2025 17:26:29,212748,1,questionnaire-yz2p,,45592321,0ib5m37x,13262734,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x954,Completed prevalence - clicked onto thanks and debrief,,0,BDD female vignette and questions (First),16,BDD female - OCD female,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Depression,1,Depression,1,Depression,2,Depression,2,Depression,1,Social anxiety disorder/social phobia,1,Generalised anxiety disorder,1,Generalised anxiety disorder,1,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Depression,1,"Mood and Feelings Questionnaire (MFQ)
",None,"when did the issues started, anything about food and eating, any abnormal thoughts, self-harm, mood, anxities, education, socialistaion ",Counselling,9,,53,"it could help her to understand that nothing is wrong, and/or provide information to clinican to see the extend of the issues. ",Primarily the young person,1,4 to 8,2,None,None
