Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-ul9c,checkpoint-yhhe,checkpoint-43k7,branch-r1a2,checkpoint-6g2b,Dep vs GAD object-18  ,Dep vs GAD object-18   Quantised,Dep vs SAD object-22  ,Dep vs SAD object-22   Quantised,OCD v dep object-26  ,OCD v dep object-26   Quantised,BDD v Dep object-30  ,BDD v Dep object-30   Quantised,Dep vs ED object-34  ,Dep vs ED object-34   Quantised,SAD v GAD object-38  ,SAD v GAD object-38   Quantised,GAD vs OCD object-42  ,GAD vs OCD object-42   Quantised,GAD v BDD object-46  ,GAD v BDD object-46   Quantised,ED v GAD object-50  ,ED v GAD object-50   Quantised,OCD v SAD object-54  ,OCD v SAD object-54   Quantised,SAD vs BDD object-58  ,SAD vs BDD object-58   Quantised,SAD vs ED object-62  ,SAD vs ED object-62   Quantised,OCD vs BDD object-67  ,OCD vs BDD object-67   Quantised,ED v OCD object-71  ,ED v OCD object-71   Quantised,BDD vs ED object-75  ,BDD vs ED object-75   Quantised,Diagnosis  object-79 Response,Diagnosis  object-79 Quantised,Self-report measures object-80 Value,Clinician measures object-81 Value,Further info object-82 Value,Treatment object-86 Response,Treatment object-86 Quantised,Other treatment object-91 Value,Dermatologist object-90 Value,Further info dermatologist object-100 Value,Work with object-92 Response,Work with object-92 Quantised,Sessions object-93 Response,Sessions object-93 Quantised,Guidelines object-94 Value,Protocols object-95 Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dep vs GAD object-18  ,Dep vs GAD object-18   Quantised,Dep vs SAD object-22  ,Dep vs SAD object-22   Quantised,OCD v dep object-26  ,OCD v dep object-26   Quantised,BDD v Dep object-30  ,BDD v Dep object-30   Quantised,Dep vs ED object-34  ,Dep vs ED object-34   Quantised,SAD v GAD object-38  ,SAD v GAD object-38   Quantised,GAD vs OCD object-42  ,GAD vs OCD object-42   Quantised,GAD v BDD object-46  ,GAD v BDD object-46   Quantised,ED v GAD object-50  ,ED v GAD object-50   Quantised,OCD v SAD object-54  ,OCD v SAD object-54   Quantised,SAD vs BDD object-58  ,SAD vs BDD object-58   Quantised,SAD vs ED object-62  ,SAD vs ED object-62   Quantised,OCD vs BDD object-67  ,OCD vs BDD object-67   Quantised,ED v OCD object-71  ,ED v OCD object-71   Quantised,BDD vs ED object-75  ,BDD vs ED object-75   Quantised,"**From the list below, which ONE diagnosis would you identify as the primary presenting difficulty or diagnosis for Elijah?**","**From the list below, which ONE diagnosis would you identify as the primary presenting difficulty or diagnosis for Elijah?**",**What self-report measure(s) would you want the young person to complete to find out more information?** Please write ‘none’ if you do not know. ,**Are there any clinician-rated assessment tools you would want to complete with the young person to find out more information?** Please write ‘none’ if you do not know. ,**What further information would you want to gather?** Please write ‘none’ if you do not know. ,"**If you had to choose ONE, and only one, psychological treatment approach to use for this case, what would it be? Please select one.**","**If you had to choose ONE, and only one, psychological treatment approach to use for this case, what would it be? Please select one.**","**If you selected ‘other’, please specify:**","**Based on the information provided, how likely is it is that this young person would benefit from seeing a dermatologist? (0= extremely unlikely; 100 = extremely likely)**","**If you would like to provide an explanation for your answer to the question above regarding the likelihood that this young person would benefit from seeing a dermatologist, please write this in the box below:** (if you do not wish to add anything, you can skip this question) ",**Who would you primarily be working with in this case?**,**Who would you primarily be working with in this case?**,**How many treatment sessions would you be likely to offer?**,**How many treatment sessions would you be likely to offer?**,**Are there any treatment guidelines that you are aware of that you would follow when working with this case?** Please write ‘none’ if you do not know of any relevant guidelines. ,**Are there any treatment manuals that you are aware of that you would follow when working with this case?** Please write ‘none’ if you do not know of any relevant manuals.
1,1747910046201,22/05/2025 10:34:06,1747913646201,1,22/05/2025 12:34:06,212748,2,questionnaire-mujl,,46391386,gfbcbqvn,13477172,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x568,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Depression,2,Depression,2,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Generalised anxiety disorder,1,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Social anxiety disorder/social phobia,1,Social anxiety disorder/social phobia,1,Obsessive-compulsive disorder,1,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Generalised anxiety disorder,2,RCADS,Initial assessment ,"What did he used to do, what thoughts does he have about his skin and not wanting to go out. ",Cognitive behavioural therapy (CBT) ,2,,50,"If he believes there is a genuine issue after exploration, maybe a visit could be beneficial",Primarily the young person,1,4 to 8,2,Maybe CR or BA intervention ,CR or BA
1,1748939287881,03/06/2025 08:28:07,1748942887881,1,03/06/2025 10:28:07,212748,2,questionnaire-mujl,,46779542,t9kk59pk,13559437,,live,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x720,1272x594,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Depression,2,Body dysmorphic disorder,1,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Obsessive-compulsive disorder,1,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Body dysmorphic disorder,5," Body Dysmorphic Symptom Scale (BDSS) 

BDD Questionnaire (BDDQ)–Dermatology Version (BDDQ-DV)",RCADS YP,"Developmental history
family genogram/history
When this started
What are his thoughts about his skin specifically
How often they occur
What is his daily functioning like - eating sleeping self care
Strengths and interests
Peer relationships
School life",Cognitive behavioural therapy (CBT) ,2,,24,"We would need to assess if there is any physical needs for his skin
If there is not he does not need to see a dermatoligist as this seems more to be based in BDD
If his skin is needing treatment he will need to see them",Primarily the young person,1,9 to 12,3,"Primarlily the YP but also with the parents as every YP exists in their network
Sharing techniques and idea with family will be helpful but CBT sessions will be with YP - alone if they feel comfortable - they would be able to bring parent into room if they wanted this

NICE guidelines
NHS guidlines",Info on BDD foundation website and other written text books to inform
1,1748942737884,03/06/2025 09:25:37,1748946337884,1,03/06/2025 11:25:37,212748,2,questionnaire-mujl,,46782594,a90bh1p8,13559504,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1080,1912x962,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Depression,1,Depression,1,Depression,2,Body dysmorphic disorder,1,Depression,1,Social anxiety disorder/social phobia,1,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Social anxiety disorder/social phobia,3,RCADS,"Body Dysmorphic Disorder Modification
Of The Y-BOCS (BDD-YBOCS) For Adolescents","how much time they spent worrying about their skin, what they do regarding that worry",Psychodynamic/Psychoanalytic Psychotherapy ,5,,50,"It depends on the condition of their skin. If there is a visibly noticeable issue or they report symptoms such as itchiness, a burning sensation, or other discomfort, seeking medical advice would be beneficial.",Both (young person and parent/carer/guardian),3,4 to 8,2,no,no
1,1748943488387,03/06/2025 09:38:08,1748947088387,1,03/06/2025 11:38:08,212748,2,questionnaire-mujl,,46783255,uqm49heh,13560200,,live,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1280x720,1268x596,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Depression,1,Depression,1,Obsessive-compulsive disorder,1,Depression,2,Eating disorder,2,Social anxiety disorder/social phobia,1,Obsessive-compulsive disorder,2,Generalised anxiety disorder,1,Eating disorder,1,Social anxiety disorder/social phobia,2,Social anxiety disorder/social phobia,1,Social anxiety disorder/social phobia,1,Obsessive-compulsive disorder,1,Obsessive-compulsive disorder,2,Eating disorder,2,Body dysmorphic disorder,5,rcads,rcads,rcads,Cognitive behavioural therapy (CBT) with Exposure and Response Prevention (ERP) ,3,,53,,Both (young person and parent/carer/guardian),3,9 to 12,3,none,none
1,1748943552731,03/06/2025 09:39:12,1748947152731,1,03/06/2025 11:39:12,212748,2,questionnaire-mujl,,46783318,is4igd0g,13560190,,live,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1280x720,1272x602,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Depression,2,Body dysmorphic disorder,1,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Body dysmorphic disorder,5,RCADS,CGAS,Full holistic assessment,Cognitive behavioural therapy (CBT) ,2,,0,"His skin has no issues, it is dysmorphic thinking.
? would a professional telling him his skin is OK help him",Both (young person and parent/carer/guardian),3,4 to 8,2,I am not trained in CBT/therapy,I am not trained in CBT/therapy
1,1748943569317,03/06/2025 09:39:29,1748947169317,1,03/06/2025 11:39:29,212748,2,questionnaire-mujl,,46783323,2py0pcmm,13560210,,live,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x746,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Depression,1,Obsessive-compulsive disorder,1,Depression,2,Depression,1,Social anxiety disorder/social phobia,1,Generalised anxiety disorder,1,Generalised anxiety disorder,1,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Social anxiety disorder/social phobia,1,Social anxiety disorder/social phobia,1,Obsessive-compulsive disorder,1,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Obsessive-compulsive disorder,4,rcads,rcads,rcads,Cognitive behavioural therapy (CBT) with Exposure and Response Prevention (ERP) ,3,,31,no - because it will enforce thoughts ,Primarily the young person,1,9 to 12,3,nice,cbt manual
1,1748943683167,03/06/2025 09:41:23,1748947283167,1,03/06/2025 11:41:23,212748,2,questionnaire-mujl,,46783411,jt9ihgt0,13560218,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1920x1080,1912x928,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Depression,2,Body dysmorphic disorder,1,Depression,1,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Generalised anxiety disorder,1,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Social anxiety disorder/social phobia,1,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Generalised anxiety disorder,2,RCADS and SDQ,none,I would complete a CAMHS initial assessment which looks at his holistic needs and current support network.  ,Cognitive behavioural therapy (CBT) ,2,,0,,Primarily the young person,1,4 to 8,2,none,none
1,1748944702765,03/06/2025 09:58:22,1748948302765,1,03/06/2025 11:58:22,212748,2,questionnaire-mujl,,46784257,a7j7fzvu,13560385,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x640,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Depression,1,Social anxiety disorder/social phobia,2,Depression,2,Body dysmorphic disorder,1,Depression,1,Social anxiety disorder/social phobia,1,Generalised anxiety disorder,1,Body dysmorphic disorder,2,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Body dysmorphic disorder,5,"RCADS, SDQ, Body Dysmorphic Disorder Questionnaire",None,"When did the problems start? What came first? What else was going on for Elijah (trauma, physical changes, bullying)? Any neurodevelopmental or learning difficulties? What helps?",Cognitive behavioural therapy (CBT) ,2,,50,"The GP has already seen Elijah and has referred him to CAMHS. As a result this would indicate that a medical professional has already ruled out there being a physical component. However, this would be something worth exploring as it could either confirm that there is an underlying medical condition or give further evidence that the problem is psychological.",Both (young person and parent/carer/guardian),3,9 to 12,3,I would be looking at NICE guidelines.,None
1,1748944935028,03/06/2025 10:02:15,1748948535028,1,03/06/2025 12:02:15,212748,2,questionnaire-mujl,,46784428,w5nkpox8,13560333,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1366x768,1358x650,Completed prevalence - clicked onto thanks and debrief,,0,BDD male vignette and questions (Second),18,OCD male - BDD male,Demographics completed,2x vignettes completed,Clinician YES,Completed prevalence - clicked onto thanks and debrief,Generalised anxiety disorder,2,Social anxiety disorder/social phobia,2,Obsessive-compulsive disorder,1,Body dysmorphic disorder,1,Eating disorder,2,Generalised anxiety disorder,2,Generalised anxiety disorder,1,Generalised anxiety disorder,1,Generalised anxiety disorder,2,Obsessive-compulsive disorder,1,Body dysmorphic disorder,2,Social anxiety disorder/social phobia,1,Body dysmorphic disorder,2,Obsessive-compulsive disorder,2,Body dysmorphic disorder,1,Generalised anxiety disorder,2,RCADS,None,"Thoughts of body image
What is going well for him?
Suicidal thoughts
Self-harm
What's up with his skin, if anything",Cognitive behavioural therapy (CBT) ,2,,50,"It might help with reassurance that there is no issue with their skin, hearing this from a professional.",Both (young person and parent/carer/guardian),3,9 to 12,3,None,Helping your child with fears and worries
