"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1710523802411,"15/03/2024 17:30:02",1710505802411,-5,"15/03/2024 07:30:02",171533,4,"questionnaire-97cc",NA,36132631,10670581,NA,"rejected - time limit reached",NA,"65f482fa44684c49035118d0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","SUPPRF82392"
"1",1710525337977,"15/03/2024 17:55:37",1710525337977,0,"15/03/2024 17:55:37",171533,4,"questionnaire-97cc",NA,36133675,10670779,NA,"complete",NA,"65f4890ce086774848365699","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1600","2560x1431",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF19125"
"1",1710528160032,"15/03/2024 18:42:40",1710513760032,-4,"15/03/2024 10:42:40",171533,4,"questionnaire-97cc",NA,36135289,10670897,NA,"complete",NA,"65f48c7739eb876deb45df6f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1500x1000","1500x831",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF52787"
"1",1710532793014,"15/03/2024 19:59:53",1710518393014,-4,"15/03/2024 11:59:53",171533,4,"questionnaire-97cc",NA,36137648,10671677,NA,"complete",NA,"65f4a74462a3ee2f45d46c76","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x727",NA,NA,0,"ARI",2,"FGEHDICJBA","Failed AC2","Passed AC1","Certainly true","3","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF67318"
"1",1710533073556,"15/03/2024 20:04:33",1710536673556,1,"15/03/2024 22:04:33",171533,4,"questionnaire-97cc",NA,36137745,10671719,NA,"complete",NA,"65f4a95d55f7947822ff0703","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPPRF34851"
"1",1710534373547,"15/03/2024 20:26:13",1710509173547,-7,"15/03/2024 06:26:13",171533,4,"questionnaire-97cc",NA,36138450,10671802,NA,"complete",NA,"65f4adc74b3b22141fd0590e","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1366x645",NA,NA,0,"ARI",2,"JAIBHCGDFE","Passed AC2","","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","SUPPRF60790"
"1",1710535959810,"15/03/2024 20:52:39",1710517959810,-5,"15/03/2024 10:52:39",171533,4,"questionnaire-97cc",NA,36139422,10671945,NA,"complete",NA,"65f4b2f1a1c2c8a3b4054911","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF68963"
"1",1710538775817,"15/03/2024 21:39:35",1710513575817,-7,"15/03/2024 07:39:35",171533,4,"questionnaire-97cc",NA,36140621,10672236,NA,"complete",NA,"65f4b761bd9ff8c80728201f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x765",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF84585"
"1",1710540449809,"15/03/2024 22:07:29",1710522449809,-5,"15/03/2024 12:07:29",171533,4,"questionnaire-97cc",NA,36141183,10672354,NA,"complete",NA,"65f4c28dbaabda8dcafee3e9","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x559",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Somewhat true","2","Not true","1","Certainly true","3","Certainly true","3","Somewhat true","2","Not true","1","Somewhat true","2","SUPPRF98765"
"1",1710541816986,"15/03/2024 22:30:16",1710527416986,-4,"15/03/2024 14:30:16",171533,4,"questionnaire-97cc",NA,36141939,10672498,NA,"complete",NA,"65f4c9821924d962035ee23d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x953",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF97604"
"1",1710544963326,"15/03/2024 23:22:43",1710526963326,-5,"15/03/2024 13:22:43",171533,4,"questionnaire-97cc",NA,36142913,10672728,NA,"complete",NA,"65f4d59bfcabf3140fc11967","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","2560x1440","2560x1271",NA,NA,0,"ARI",2,"EFDGCHBIAJ","Passed AC2","","Somewhat true","2","Somewhat true","2","Certainly true","3","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","SUPPRF21256"
"1",1710547517877,"16/03/2024 00:05:17",1710547517877,0,"16/03/2024 00:05:17",171533,4,"questionnaire-97cc",NA,36143295,10672824,NA,"complete",NA,"65f4e159509732b59f7378aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x677",NA,NA,0,"ARI",2,"FGEHDICJBA","Passed AC2","","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF99019"
"1",1710552404900,"16/03/2024 01:26:44",1710538004900,-4,"15/03/2024 17:26:44",171533,4,"questionnaire-97cc",NA,36144003,10673034,NA,"complete",NA,"65f4f4e3dc148945f0f080cd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1433x788",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","SUPPRF68317"
"1",1710556414181,"16/03/2024 02:33:34",1710542014181,-4,"15/03/2024 18:33:34",171533,4,"questionnaire-97cc",NA,36144363,10673101,NA,"rejected - time limit reached",NA,"65f4fc3015749b705e09259c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1379x668",NA,NA,0,"ARI",2,"IJHAGBFCED","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF22695"
"1",1710576064848,"16/03/2024 08:01:04",1710576064848,0,"16/03/2024 08:01:04",171533,4,"questionnaire-97cc",NA,36145852,10673578,NA,"complete",NA,"65f54f62c2db2b8f78461476","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF24929"
"1",1710588059792,"16/03/2024 11:20:59",1710588059792,0,"16/03/2024 11:20:59",171533,4,"questionnaire-97cc",NA,36148280,10674075,NA,"complete",NA,"65f57e264af96460db0901a2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF42659"
"1",1710593726411,"16/03/2024 12:55:26",1710593726411,0,"16/03/2024 12:55:26",171533,4,"questionnaire-97cc",NA,36149713,10674438,NA,"complete",NA,"65f593ae1c411d371249e041","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1920x1080","1920x945",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF60041"
"1",1710597252438,"16/03/2024 13:54:12",1710597252438,0,"16/03/2024 13:54:12",171533,4,"questionnaire-97cc",NA,36150544,10674633,NA,"complete",NA,"65f5a0f18f9ee4e035af44dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1181x709",NA,NA,0,"ARI",2,"EFDGCHBIAJ","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF42335"
"1",1710598371181,"16/03/2024 14:12:51",1710598371181,0,"16/03/2024 14:12:51",171533,4,"questionnaire-97cc",NA,36150802,10674739,NA,"complete",NA,"65f5a7a0a41725db8eff3861","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1600x742",NA,NA,0,"ARI",2,"FGEHDICJBA","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF74365"
"1",1710599201128,"16/03/2024 14:26:41",1710599201128,0,"16/03/2024 14:26:41",171533,4,"questionnaire-97cc",NA,36151126,10674802,NA,"complete",NA,"65f5ab7ddf5d5ea675b1d523","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x551",NA,NA,0,"ARI",2,"GHFIEJDACB","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","SUPPRF04651"
"1",1710609556815,"16/03/2024 17:19:16",1710609556815,0,"16/03/2024 17:19:16",171533,4,"questionnaire-97cc",NA,36154940,10675750,NA,"complete",NA,"65f5d439391bec682990ea69","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF88823"
"1",1710612150641,"16/03/2024 18:02:30",1710612150641,0,"16/03/2024 18:02:30",171533,4,"questionnaire-97cc",NA,36155599,10675925,NA,"complete",NA,"65f5ddcefcabf3140fc153c7","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x953",NA,NA,0,"ARI",2,"IJHAGBFCED","Passed AC2","","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF30067"
"1",1710614781131,"16/03/2024 18:46:21",1710596781131,-5,"16/03/2024 08:46:21",171533,4,"questionnaire-97cc",NA,36156266,10676048,NA,"rejected - time limit reached",NA,"65f5e7bfa4fe5d09132830dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,0,"ARI",2,"JAIBHCGDFE","Passed AC2","","Certainly true","3","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPPRF61269"
"1",1710620027504,"16/03/2024 20:13:47",1710602027504,-5,"16/03/2024 10:13:47",171533,4,"questionnaire-97cc",NA,36157697,10676371,NA,"complete",NA,"65f5fb284927cf00599ff201","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x716",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF74430"
"1",1710625417603,"16/03/2024 21:43:37",1710611017603,-4,"16/03/2024 13:43:37",171533,4,"questionnaire-97cc",NA,36158784,10676717,NA,"complete",NA,"65f60ffae4f3e16e24c12309","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x690",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF00347"
"1",1710654086282,"17/03/2024 05:41:26",1710628886282,-7,"16/03/2024 15:41:26",171533,4,"questionnaire-97cc",NA,36161481,10677558,NA,"complete",NA,"65f67daa2095aeb852e81b74","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1494x934","1494x799",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF35950"
