"","Submission.id","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","65eb4fa1ce545fd232f32bc7","AWAITING REVIEW","Not Applicable","2024-03-08T17:50:50.488000Z","2024-03-08T18:56:53.523000Z",NA,"2024-03-08T18:56:53.977574Z",3964,"C6UC3A24",8,"Turkish, English","No","23","Male","White","Turkey","United Kingdom","Turkey","Turkish","Yes","Unemployed (and job seeking)","SUPPRF56573"
"2","65eb54d246acd454e8d845b7","AWAITING REVIEW","Not Applicable","2024-03-08T18:11:35.770000Z","2024-03-08T18:59:59.073000Z",NA,"2024-03-08T19:00:32.655341Z",2904,"C6UC3A24",140,"English, Urdu","No","21","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF16178"
"3","65eb56995e6079ddf5fedc25","AWAITING REVIEW","Not Applicable","2024-03-08T18:22:24.106000Z","2024-03-08T20:11:30.649000Z",NA,"2024-03-08T20:11:31.146148Z",6547,"C6UC3A24",1,"English","No","24","Male","Black","United States","United States","United States","English","No","Full-Time","SUPPRF20445"
"4","65eb5c6c46acd454e8d84784","AWAITING REVIEW","Not Applicable","2024-03-08T18:44:04.761000Z","2024-03-08T19:44:44.981000Z",NA,"2024-03-08T19:44:45.692469Z",3641,"C6UC3A24",7,"English","No","22","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time","SUPPRF43122"
"5","65eb5cdca87a76dad829ae54","AWAITING REVIEW","Not Applicable","2024-03-08T18:48:19.927000Z","2024-03-08T19:47:46.130000Z",NA,"2024-03-08T19:47:52.184808Z",3567,"C6UC3A24",261,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF18284"
"6","65eb5f1446acd454e8d8483e","AWAITING REVIEW","Not Applicable","2024-03-08T18:56:36.626000Z","2024-03-08T20:02:40.603000Z",NA,"2024-03-08T20:02:41.050524Z",3964,"C6UC3A24",435,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF79823"
"7","65eb687df10847cd0277edfc","AWAITING REVIEW","Not Applicable","2024-03-08T19:35:30.742000Z","2024-03-08T20:22:43.510000Z",NA,"2024-03-08T20:22:44.047240Z",2833,"C6UC3A24",35,"English","No","20","Female","White","United States","United States","United States","English","Yes","Unemployed (and job seeking)","SUPPRF25498"
"8","65eb6af1674b59807821cea5","AWAITING REVIEW","Not Applicable","2024-03-08T19:45:57.340000Z","2024-03-08T20:45:01.657000Z",NA,"2024-03-08T20:45:02.579274Z",3545,"C6UC3A24",1402,"English, French, Icelandic","No","25","Female","White","United States","United States","United States","English","No","Due to start a new job within the next month","SUPPRF02691"
"9","65eb6b37bc066fbabecd9723","AWAITING REVIEW","Not Applicable","2024-03-08T19:47:09.766000Z","2024-03-08T20:33:58.087000Z",NA,"2024-03-08T20:34:02.969219Z",2809,"C6UC3A24",711,"English","No","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF64782"
"10","65eb6b45b174e94f5eb8edca","AWAITING REVIEW","Not Applicable","2024-03-08T19:47:40.600000Z","2024-03-08T20:40:13.034000Z",NA,"2024-03-08T20:40:13.572911Z",3153,"C6UC3A24",36,"English, Spanish","No","22","Female","White","United States","United States","United States","English","Yes","Part-Time","SUPPRF76403"
