"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1695817860939,"27/09/2023 12:31:00",1695803460939,-4,"27/09/2023 04:31:00",144636,3,"questionnaire-97cc",NA,31894313,9431509,NA,"complete","osbhtc","3RYC5T2D79S57II2TVUJPWUBBMLRPU","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x747",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT38416"
"1",1695821671390,"27/09/2023 13:34:31",1695803671390,-5,"27/09/2023 03:34:31",144636,3,"questionnaire-97cc",NA,31894417,9431510,NA,"complete","vcnpts","3FIJLY1B60384SDT20UP87GS8YAFPN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x960","1536x835",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT74201"
"1",1695818008097,"27/09/2023 12:33:28",1695803608097,-4,"27/09/2023 04:33:28",144636,3,"questionnaire-97cc",NA,31894329,9431524,NA,"rejected - time limit reached","","3NPI0JQDAU4INXVUXKZEPBVTZ7IPT5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT54374"
"1",1695818041950,"27/09/2023 12:34:01",1695803641950,-4,"27/09/2023 04:34:01",144636,3,"questionnaire-97cc",NA,31894397,9431515,NA,"complete","ospqgx","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"ARI",2,"FGEHDICJBA","Passed AC2","","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","Certainly true","3","Somewhat true","2","SUPAMT47263"
"1",1695818045791,"27/09/2023 12:34:05",1695803645791,-4,"27/09/2023 04:34:05",144636,3,"questionnaire-97cc",NA,31894401,9431522,NA,"complete","umrsqi","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","SUPAMT42249"
"1",1695839710856,"27/09/2023 18:35:10",1695825310856,-4,"27/09/2023 10:35:10",144636,3,"questionnaire-97cc",NA,31894423,9431516,NA,"complete","uybgfq","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"ARI",2,"EFDGCHBIAJ","Passed AC2","","Somewhat true","2","Somewhat true","2","Certainly true","3","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT75668"
"1",1695818096639,"27/09/2023 12:34:56",1695803696639,-4,"27/09/2023 04:34:56",144636,3,"questionnaire-97cc",NA,31894430,9431511,NA,"complete","kxxpyk","3ZSY5X72N3ANMI61EVH40WPL1HPROD","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1600x900","1600x751",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","SUPAMT02681"
"1",1695821579635,"27/09/2023 13:32:59",1695803579635,-5,"27/09/2023 03:32:59",144636,3,"questionnaire-97cc",NA,31894369,9431537,NA,"complete","xjuqtc","3FDJT1UU7A7FR4NOJWC8QE3GPUQK58","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"ARI",2,"IJHAGBFCED","Passed AC2","","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT83502"
"1",1695818073997,"27/09/2023 12:34:33",1695803673997,-4,"27/09/2023 04:34:33",144636,3,"questionnaire-97cc",NA,31894416,9431531,NA,"complete","fusbxb","3TXWC2NHN5PWGA28RVYRTGZSSKMS9O","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1515x687",NA,NA,0,"ARI",2,"GHFIEJDACB","Passed AC2","","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT53839"
"1",1695818200281,"27/09/2023 12:36:40",1695803800281,-4,"27/09/2023 04:36:40",144636,3,"questionnaire-97cc",NA,31894487,9431555,NA,"complete","sxmyof","354P56DE9Q2S2REFCY07FK8MXUY7SR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x747",NA,NA,0,"ARI",2,"JAIBHCGDFE","Passed AC2","","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT29912"
