"","Submission.id","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","65dcce30f40fd5cad9b7b120","AWAITING REVIEW","Not Applicable","2024-02-26T17:51:10.689000Z","2024-02-26T19:09:41.471000Z",NA,"2024-02-26T19:09:42.018515Z",4711,"C6UC3A24",277,"English, Bengali","No","19","Male","Asian","Bangladesh","United States","Bangladesh","English","Yes","Part-Time","SUPPRF56143"
"2","65dcd2fef102ce9273e60afb","AWAITING REVIEW","Not Applicable","2024-02-26T18:05:53.812000Z","2024-02-26T19:07:58.555000Z",NA,"2024-02-26T19:07:59.028307Z",3725,"C6UC3A24",71,"Czech, English, Slovak","No","24","Female","White","Slovakia","United Kingdom","Slovakia","Slovak","Yes","Unemployed (and job seeking)","SUPPRF94580"
"3","65dcd343038df1ca26649274","AWAITING REVIEW","Not Applicable","2024-02-26T18:07:10.481000Z","2024-02-26T18:53:48.332000Z",NA,"2024-02-26T18:53:48.926438Z",2798,"C6UC3A24",59,"English","No","20","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF91296"
"4","65dcd3eed5e1a6a3349a3356","AWAITING REVIEW","Not Applicable","2024-02-26T18:09:50.848000Z","2024-02-26T18:55:18.772000Z",NA,"2024-02-26T18:55:19.341986Z",2728,"C6UC3A24",308,"Japanese, Portuguese, English","No","23","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","Japanese","No","DATA_EXPIRED","SUPPRF77316"
"5","65dce2bedf550398cbe21df9","AWAITING REVIEW","Not Applicable","2024-02-26T19:13:06.813000Z","2024-02-26T20:06:01.338000Z",NA,"2024-02-26T20:06:01.940188Z",3175,"C6UC3A24",62,"English","No","22","Female","Asian","India","United States","United States","English","No","Unemployed (and job seeking)","SUPPRF59156"
"6","65dce39a39457860b3e43fc8","AWAITING REVIEW","Not Applicable","2024-02-26T19:23:46.440000Z","2024-02-26T20:53:15.466000Z",NA,"2024-02-26T20:53:16.360007Z",5370,"C6UC3A24",254,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF01454"
"7","65dce8d9cab7e37ca604a9ef","AWAITING REVIEW","Not Applicable","2024-02-26T19:39:08.517000Z","2024-02-26T20:26:25.204000Z",NA,"2024-02-26T20:26:25.765440Z",2837,"C6UC3A24",139,"English","No","25","Female","Asian","United States","United States","United States","English","No","Full-Time","SUPPRF87285"
"8","65dceba002a94d3dfdc24511","AWAITING REVIEW","Not Applicable","2024-02-26T19:51:02.992000Z","2024-02-26T20:42:02.159000Z",NA,"2024-02-26T20:42:02.701548Z",3060,"C6UC3A24",22,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF00201"
"9","65dcec09d5e1a6a3349a3837","AWAITING REVIEW","Not Applicable","2024-02-26T19:52:48.487000Z","2024-02-26T20:47:07.939000Z",NA,"2024-02-26T20:47:08.507173Z",3260,"C6UC3A24",58,"English","No","25","Female","Asian","China","United States","United States","English","No","Full-Time","SUPPRF64585"
"10","65dced46926eb51a950e86da","AWAITING REVIEW","Not Applicable","2024-02-26T19:58:03.172000Z","2024-02-26T20:44:49.819000Z",NA,"2024-02-26T20:44:50.481049Z",2807,"C6UC3A24",57,"English, Chinese","No","22","Female","Asian","China","United States","United States","English","Yes","Due to start a new job within the next month","SUPPRF09191"
"11","65dcf1725c4c8090ce3cb245","AWAITING REVIEW","Not Applicable","2024-02-26T20:16:13.111000Z","2024-02-26T21:23:14.612000Z",NA,"2024-02-26T21:23:15.092447Z",4022,"C6UC3A24",15,"English","No","19","Male","Black","United States","United States","United States","English","Yes","Full-Time","SUPPRF78484"
"12","65dcf42ea8c82b9660fc4668","AWAITING REVIEW","Not Applicable","2024-02-26T20:27:29.284000Z","2024-02-26T21:05:45.912000Z",NA,"2024-02-26T21:05:46.336781Z",2297,"C6UC3A24",411,"English","No","23","Female","White","United States","United States","United States","English","Yes","Full-Time","SUPPRF59092"
"13","65dcf76135721b0e6bbcce5f","AWAITING REVIEW","Not Applicable","2024-02-26T20:41:08.497000Z","2024-02-26T21:24:54.076000Z",NA,"2024-02-26T21:24:54.718829Z",2626,"C6UC3A24",52,"English","No","23","Female","Asian","United States","United States","India","English","Yes","Part-Time","SUPPRF05723"
"14","65dcfb58aef7f9381901d3c3","AWAITING REVIEW","Not Applicable","2024-02-26T20:58:12.679000Z","2024-02-26T21:43:50.227000Z",NA,"2024-02-26T21:43:50.679007Z",2738,"C6UC3A24",485,"English","No","25","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Part-Time","SUPPRF99214"
"15","65dd02562d7bf320aeba16bb","AWAITING REVIEW","Not Applicable","2024-02-26T21:27:50.023000Z","2024-02-26T22:16:29.037000Z",NA,"2024-02-26T22:16:29.558636Z",2920,"C6UC3A24",658,"English","No","19","Male","White","United States","United States","United States","English","No","Part-Time","SUPPRF17025"
"16","65dd051932ebb761548f9e6d","AWAITING REVIEW","Not Applicable","2024-02-26T21:39:41.575000Z","2024-02-26T22:19:37.738000Z",NA,"2024-02-26T22:19:38.245978Z",2397,"C6UC3A24",29,"English","No","20","Female","Asian","United States","United States","United States","English","Yes","Unemployed (and job seeking)","SUPPRF43564"
"17","65dd072b8ea0c743b5880b74","AWAITING REVIEW","Not Applicable","2024-02-26T21:48:27.874000Z","2024-02-26T22:40:54.306000Z",NA,"2024-02-26T22:40:54.786578Z",3147,"C6UC3A24",314,"Bengali, Hindi, English","No","19","Male","Asian","Bangladesh","United Kingdom","United Kingdom","Bengali","DATA_EXPIRED","DATA_EXPIRED","SUPPRF73359"
"18","65dd0866bc7a541c53287a37","AWAITING REVIEW","Not Applicable","2024-02-26T21:54:22.648000Z","2024-02-26T22:48:11.052000Z",NA,"2024-02-26T22:48:11.480819Z",3229,"C6UC3A24",53,"English","No","25","Female","Mixed","United States","United States","United States","English","No","Unemployed (and job seeking)","SUPPRF00089"
"19","65dd0b41d48b7c8e7ab8d617","AWAITING REVIEW","Not Applicable","2024-02-26T22:06:33.567000Z","2024-02-26T23:20:16.592000Z",NA,"2024-02-26T23:20:17.099911Z",4424,"C6UC3A24",22,"English, Gujarati","No","24","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF47490"
"20","65dd128f14235118bfba143b","AWAITING REVIEW","Not Applicable","2024-02-26T22:39:24.022000Z","2024-02-26T23:44:41.624000Z",NA,"2024-02-26T23:44:42.183520Z",3918,"C6UC3A24",65,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF92592"
"21","65dd15a4b19c2e0e7e317336","AWAITING REVIEW","Not Applicable","2024-02-26T22:50:15.479000Z","2024-02-26T23:37:37.819000Z",NA,"2024-02-26T23:37:38.274395Z",2843,"C6UC3A24",74,"English","No","23","Female","Asian","United States","United States","United States","English","Yes","Other","SUPPRF58118"
